applylink,bankname,baseUrl,category,image,location,offerdetails,offerlink,offertitle,shopname,tnc,validity
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114487/novo-cinemas-banner_1070x330-30-mar.jpg?anchor=center&mode=crop&width=230&height=120&rnd=132615850910000000,,,https://nbf.ae/en/personal/promotions/offers-promotions/novo-cinemas-offer,,Enjoy 15% off and 60% cashback on movie tickets and F&B at Novo Cinemas,,Valid Until 27-03-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://www.visa.com/images/merchantoffers/2022-12/1672297988465.Zenn1600.jpg,,,https://nbf.ae/en/personal/promotions/offers-promotions/visa-offers/148981,,30% OFF all services on: https://zennmore.com/,,Valid Until 13-12-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://www.visa.com/images/merchantoffers/2020-02/1581601726778.1600_x_600.jpg,,,https://nbf.ae/en/personal/promotions/offers-promotions/visa-offers/141299,,Receive a 20% off Midweek green fees (Sun- Thurs),,Valid Until 28-02-2023
,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://www.visa.com/images/merchantoffers/2020-02/1581601467853.1600_x_600.jpg,,,https://nbf.ae/en/personal/promotions/offers-promotions/visa-offers/141301,,Enjoy our 'Member's Guest' Rate (Sun- Thurs),,Valid Until 06-03-2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Food & Restaurants,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/Marino-Beach-Hotel-web-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/food-restaurants/enjoy-the-art-of-dining-at-marino-beach-restaurant-with-combank-credit-and-debit-cards,,Enjoy the art of dining at Marino Beach restaurant with ComBank Credit and Debit Cards,,Offer valid till 31st January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Leisure,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/common-hotel-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/leisure/relax-at-your-favorite-hotel-when-you-pay-through-combank-credit-and-debit-cards,,Relax at your favorite hotel when you pay through ComBank Credit and Debit Cards,,Offer valid till 31st October 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Online Shopping,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/Saraketha-Web-Thumb.jpg'),,,http://www.combank.lk/rewards-promotion/online-shopping/great-online-deals-at-saaraketha-with-combank-credit-and-debit-cards,,Great online deals at Saaraketha with ComBank Credit and Debit Cards,,Offer valid from 23rd to 31st January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Online Shopping,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/daraz-mastercard-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/online-shopping/great-online-deals-at-daraz-with-combank-mastercard-cards,,Great online deals at Daraz with ComBank Mastercard Cards,,Offer valid on every Saturday & Sunday till 29th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Online Shopping,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/daraz-thursday-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/online-shopping/great-online-deals-at-daraz-with-combank-credit-cards,,Great online deals at Daraz with ComBank Credit Cards,,Offer valid on every Thursday till 26th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Supermarket,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/laugfs-thumb-web-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/supermarket/enjoy-the-best-supermarket-deals-at-laugfs-super-with-combank-credit-and-debit-cards,,Enjoy the best supermarket deals at Laugfs Super with ComBank Credit and Debit Cards,,Offer valid on every Saturday till 27th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Supermarket,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/glomark-fresh-thumb-web-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/supermarket/enjoy-the-best-supermarket-fresh-deals-at-softlogic-glomark-with-combank-credit-and-debit-cards,,Enjoy the best supermarket fresh deals at Softlogic Glomark with ComBank Credit and Debit Cards,,Offer valid on every Saturday till 28th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Supermarket,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/arpico-fresh-thumb-jan-web-2023.jpg'),,,http://www.combank.lk/rewards-promotion/supermarket/enjoy-the-best-supermarket-fresh-deals-at-arpico-with-combank-credit-cards,,Enjoy the best supermarket fresh deals at Arpico with ComBank Credit Cards,,"Offer valid on, every Sunday till 29th January 2023"
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Supermarket,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/cargills-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/supermarket/enjoy-the-best-supermarket-fresh-deals-at-cargills-food-city-with-combank-credit-cards,,Enjoy the best supermarket fresh deals at Cargills Food City with ComBank Credit Cards,,Offer valid on every Friday till 27th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Supermarket,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/Keels-web-jan-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/supermarket/enjoy-the-best-supermarket-fresh-deals-at-keells-with-combank-credit-cards,,Enjoy the best Supermarket fresh deals at Keells with ComBank Credit Cards,,Offer valid on every Sunday till 29th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Travel,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/emirates-thumb-web-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/travel/visit-your-dream-destination-with-emirates-holidays-with-combank-credit-cards,,Visit your dream destination with Emirates Holidays with ComBank Credit Cards,,Offer valid till 28th February 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/delko-thumb-web-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/upgrade-your-home-to-solar-energy-and-save-your-energy-costs-with-combank-credit-cards,,Upgrade your home to solar energy and save your energy costs with ComBank Credit Cards,,Offer valid till 15th March 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2021/May/Easy-Payment-Plans-web-july-2021-revamp-thumb.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/use-your-combank-credit-card-and-shop-with-easy-payment-plans-at-over-3500-partner-outlets,,"Use your ComBank Credit Card and shop with Easy Payment Plans at over 3,500 partner outlets",,Promotion valid till 31st December 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/My-Fees-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/pay-your-educational-fees-via-myfeeslk-with-combank-credit-cards,,Pay your educational fees via myfees.lk with ComBank Credit Cards,,Offer valid till 30th April 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/Talkative-Parent-web-jan-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/brighten-up-your-childs-future-with-combank-credit-cards,,Brighten up your child’s future with ComBank Credit Cards,,Offer valid till 30th April 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/eppslar-web-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/go-solar-and-go-green-with-combank-credit-cards,,Go solar and go green with ComBank Credit Cards,,Offer valid till 31st March 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/epp-insurance-web-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/pay-your-insurance-premiums-with-combank-credit-cards,,Pay your insurance premiums with ComBank Credit Cards,,Offer valid till 31st March 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/epp-online-web-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/make-your-online-payments-with-combank-credit-cards,,Make your online payments with ComBank Credit Cards,,Offer valid till 31st March 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/epp-hospital-web-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/settle-your-hospital-bills-with-combank-credit-cards,,Settle your hospital bills with ComBank Credit Cards,,Offer valid till 31st March 2023
https://nbf.ae/en/personal/promotions/offers-promotions/enjoy-60-cashback-on-movie-tickets-at-vox-roxy-and-reel-cinemas,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114267/1070x330.jpg?anchor=center&mode=crop&width=230&height=120&rnd=132363593160000000,,"Terms & conditions apply.Catch all the latest blockbusters and get 60% cashback when you pay for movie tickets using your NBF credit card at VOX Cinemas, Roxy Cinemas and Reel Cinemas.All you have to do is book a ticket and pay with your NBF Classic, Platinum Exclusive or Infinite Credit Card. Cashback offer is valid on all ticket categories across all locations of VOX, Roxy and Reel cinemas in the UAE.",https://nbf.ae/en/personal/promotions/offers-promotions/enjoy-60-cashback-on-movie-tickets-at-vox-roxy-and-reel-cinemas,,"Enjoy 60% cashback on movie tickets at VOX Cinemas, Roxy Cinemas and Reel Cinemas","Maximum cashback under this offer is AED 150 per statement cycle on a NBF credit cardReel Cinemas cashback offer is valid until 8 July 2023.NBF has a right to modify or withdraw this offer any time before the offer end dateVOX Cinemas cashback offer is valid until 1 January 2023.The 60% cashback will be credited in your credit card statementOffer is not valid on NBF Islamic cards60% cashback applicable on minimum transaction amount of AED 25This offer is only valid on NBF Classic, Platinum Exclusive and Infinite credit cards",Valid Until 08-07-2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Other Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/epp-education-web-thumb-2023.jpg'),,,http://www.combank.lk/rewards-promotion/other-offers/pay-for-your-education-with-combank-credit-cards,,Pay for your Education with ComBank Credit Cards,,Offer valid till 31st March 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Premium Card Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/glomark-thumb-web-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/premium-card-offers/exclusive-supermarket-deals-at-softlogic-glomark-with-combank-premium-credit-cards,,Exclusive supermarket deals at Softlogic Glomark with ComBank Premium Credit Cards,,Offer valid on every Thursday till 26th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Premium Card Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/chamber-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/premium-card-offers/enjoy-the-art-of-dining-at-chambers-restaurant-with-combank-premium-credit-cards,,Enjoy the art of dining at Chambers restaurant with ComBank Premium Credit Cards,,Offer valid till 31st January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Premium Card Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/arpico-premium-debit-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/premium-card-offers/enjoy-exclusive-supermarket-deals-at-arpico-with-combank-premium-debit-cards,,Enjoy exclusive supermarket deals at Arpico with ComBank Premium Debit Cards,,"Offer valid on, every Wednesday till 25th January 2023"
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Premium Card Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/arpico-premium-credit-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/premium-card-offers/enjoy-exclusive-supermarket-deals-at-arpico-with-combank-premium-credit-cards,,Enjoy exclusive supermarket deals at Arpico with ComBank Premium Credit Cards,,"Offer valid on, every Wednesday till 25th January 2023"
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Premium Card Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/cargills-premium-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/premium-card-offers/enjoy-exclusive-supermarket-deals-at-cargills-food-city-with-combank-premium-credit-cards,,Enjoy exclusive supermarket deals at Cargills Food City with ComBank Premium Credit Cards,,Offer valid on Wednesday 25th January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Q+ Payment App Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/q%2Bairtel-web-thumb-jan-2023.jpg'),,,http://www.combank.lk/rewards-promotion/q-payment-app-offers/get-5-gb-free-data-when-you-recharge-your-airtel-connection-through-q-payment-app,,Get 5 GB free data when you recharge your Airtel connection through Q+ Payment App,,Offer valid till 31st January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Q+ Payment App Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2022/October/Q%2B-Visa-QR-Campaign_EDM_Web-Thumb.jpg'),,,http://www.combank.lk/rewards-promotion/q-payment-app-offers/use-your-combank-visa-card-via-q-payment-app-and-enjoy-a-cashback,,Use your ComBank Visa Card via Q+ Payment App and enjoy a Cashback,,Offer valid till 30th April 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Max Loyalty Rewards,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2021/Max-Promo-redeem-feb-2021-thumb.jpg'),,,http://www.combank.lk/rewards-promotion/max-loyalty-rewards/redeem-your-vouchers-at-over-100-merchants,,Redeem your vouchers at over 100 merchants,,Visit https://combank.infishopper.com/partner for more details
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Max Loyalty Rewards,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/max-rewards-earn-feb-2021-thumb.jpg'),,,http://www.combank.lk/rewards-promotion/max-loyalty-rewards/reward-yourself-with-max-loyalty-rewards-points,,Reward yourself with Max Loyalty Rewards points,,Visit maxrewards.combank.net for more details
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Food & Restaurants,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/Marino-Beach-Hotel-web-thumb-2023.jpg'),,"Call -Offer valid till- 31st January 2023.Offer valid for Sri Lankans and Expatriates only.Offer –25% discount for ComBank Credit and Debit Cards.This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Commercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.If any dispute arises regarding any of the terms & conditions contained herein, the decision of the Commercial Bank of Ceylon PLC - Card Centre shall be final.The promotion is open for all Credit & Debit Cards issued by Commercial Bank of Ceylon PLC.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.Offer valid on- Dinner Buffet at Tides Restaurant-Marino Beach Hotel.The General Credit & Debit Cards terms and conditions will continue to apply.All payments to be settled with the Commercial Bank Credit & Debit Cards only.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of goods or services provided by the offer partners in this promotion.",http://www.combank.lk/rewards-promotion/food-restaurants/enjoy-the-art-of-dining-at-marino-beach-restaurant-with-combank-credit-and-debit-cards,,Enjoy the art of dining at Marino Beach restaurant with ComBank Credit and Debit Cards,,Offer valid till 31st January 2023
,Commercial Bank International,https://www.combank.lk/rewards-promotions,Premium Card Offers,background-image: url('https://s3.ap-southeast-1.amazonaws.com/static.combank.cloud/photos/shares/Offers/Thumb%20Images/2023/chamber-web-thumb-jan-2023.jpg'),,"- Visa Signature Card-UnionPay Asia Prestige Diamond CardThe General Credit Card terms and conditions will continue to apply.- Visa Infinite- UnionPay Asia Prestige Platinum CardCall - 0772100009Offer valid for Sri Lankans and Expatriates only.The promotion is open for all Premium Credit Cards issued by Commercial Bank of Ceylon PLC.This offer is bound by the terms and conditions of the partnering merchant and Commercial Bank of Ceylon PLC.Period – Offer valid till 31st January 2023.Commercial Bank of Ceylon PLC reserve the right to change and/or modify all or any of the rules, terms and conditions applicable to this promotion at any given time with or  without prior notice to the Cardholders.If any dispute arises regarding any of the terms & conditions contained herein, the decision of the Commercial Bank of Ceylon PLC - Card Centre shall be final.Commercial Bank of Ceylon PLC - Card Centre accepts no liability for the quality of goods or services provided by the offer partners in this promotion.Offer applicable for following Premium Credit Cards.Offer – 15% Discount for ComBank Premium Credit Cards.This offer cannot be exchanged for cash or used in conjunction with other promotional programs or offers conducted by the Bank or the offer partner.- World MastercardAll payments to be settled with the Commercial Bank Premium Credit Cards only.",http://www.combank.lk/rewards-promotion/premium-card-offers/enjoy-the-art-of-dining-at-chambers-restaurant-with-combank-premium-credit-cards,,Enjoy the art of dining at Chambers restaurant with ComBank Premium Credit Cards,,Offer valid till 31st January 2023
https://nbf.ae/en/personal/promotions/offers-promotions/dsf-0-epp-offer,National Bank of Fujairah,https://nbf.ae/en/personal/promotions/offers-promotions,,https://nbf.ae/media/114942/website-banners__1070-x-330.jpg?anchor=center&mode=crop&width=230&height=120&rnd=133172324410000000,,**Depending on card typeShop for gold or diamond and electronics in-store with your NBF Visa Credit Card during the Dubai Shopping Festival (DSF) and get 0% Easy Payment Plans (EPP) when you spend AED 500 or more.Offer valid until 29 January 2023.Terms and conditions apply,https://nbf.ae/en/personal/promotions/offers-promotions/dsf-0-epp-offer,,"This DSF, enjoy 0% Easy Payment Plans","Earn up to 3% cashback on all your purchases**Choose your repayment period from 3 and 6 monthsMinimum transaction value should be AED 500 for 3 months and AED 1,500 for 6 months planNo enrolment or approval neededEnjoy 0% interest rate and no processing fee",Valid Until 29-01-2023
